"Series Description","SPOT EXCHANGE RATE - EURO AREA ","UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","CHINA -- SPOT EXCHANGE RATE, YUAN/US$ P.R. ","JAPAN -- SPOT EXCHANGE RATE, YEN/US$ ","SWITZERLAND -- SPOT EXCHANGE RATE, FRANCS/US$ "
"Unit:","Currency:_Per_EUR","Currency:_Per_GBP","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD"
"Multiplier:","1","0.00999999978","1","1","1"
"Currency:","USD","USD","CNY","JPY","CHF"
"Unique Identifier: ","H10/H10/RXI$US_N.B.EU","H10/H10/RXI$US_N.B.UK","H10/H10/RXI_N.B.CH","H10/H10/RXI_N.B.JA","H10/H10/RXI_N.B.SZ"
"Time Period","RXI$US_N.B.EU","RXI$US_N.B.UK","RXI_N.B.CH","RXI_N.B.JA","RXI_N.B.SZ"
2008-01-01,ND,ND,ND,ND,ND
2008-01-02,1.4738,1.9824,7.2946,109.7000,1.1174
2008-01-03,1.4736,1.9733,7.2755,109.5800,1.1134
2008-01-04,1.4786,1.9757,7.2695,108.3800,1.1064
2008-01-07,1.4684,1.9703,7.2705,109.1000,1.1176
2008-01-08,1.4717,1.9731,7.2670,109.2900,1.1138
2008-01-09,1.4663,1.9564,7.2625,109.4000,1.1151
2008-01-10,1.4740,1.9565,7.2700,109.3800,1.1069
2008-01-11,1.4787,1.9592,7.2615,109.1100,1.1026
2008-01-14,1.4877,1.9583,7.2526,108.1800,1.0928
2008-01-15,1.4842,1.9671,7.2345,107.0700,1.0917
2008-01-16,1.4643,1.9638,7.2400,107.2700,1.1008
2008-01-17,1.4690,1.9744,7.2245,107.0100,1.0993
2008-01-18,1.4616,1.9529,7.2424,106.8200,1.1010
2008-01-21,ND,ND,ND,ND,ND
2008-01-22,1.4609,1.9577,7.2456,106.7600,1.0986
2008-01-23,1.4574,1.9515,7.2400,105.4200,1.0898
2008-01-24,1.4737,1.9733,7.2228,106.6800,1.0869
2008-01-25,1.4673,1.9802,7.2115,107.3100,1.0986
2008-01-28,1.4789,1.9857,7.1950,106.6500,1.0878
2008-01-29,1.4767,1.9857,7.1965,107.0800,1.0940
2008-01-30,1.4782,1.9880,7.1912,107.2500,1.0927
2008-01-31,1.4841,1.9895,7.1818,106.7400,1.0845
2008-02-01,1.4851,1.9687,7.1845,106.3000,1.0821
2008-02-04,1.4832,1.9777,7.1915,106.7300,1.0892
2008-02-05,1.4638,1.9626,7.1835,106.9400,1.1005
2008-02-06,1.4647,1.9604,7.1830,106.7500,1.0977
2008-02-07,1.4495,1.9420,7.1830,106.8200,1.1049
2008-02-08,1.4505,1.9473,7.1830,107.3400,1.1038
2008-02-11,1.4506,1.9486,7.1905,106.6400,1.1023
2008-02-12,1.4592,1.9622,7.1840,107.4200,1.1006
2008-02-13,1.4569,1.9618,7.1973,108.1500,1.1074
2008-02-14,1.4635,1.9708,7.1880,107.9700,1.0984
2008-02-15,1.4674,1.9613,7.1780,107.6700,1.0913
2008-02-18,ND,ND,ND,ND,ND
2008-02-19,1.4742,1.9511,7.1485,107.5000,1.0930
2008-02-20,1.4663,1.9405,7.1425,107.9700,1.1003
2008-02-21,1.4813,1.9614,7.1395,107.6000,1.0916
2008-02-22,1.4825,1.9668,7.1400,106.9800,1.0856
2008-02-25,1.4822,1.9668,7.1522,107.8800,1.0856
2008-02-26,1.4889,1.9747,7.1580,107.7300,1.0849
2008-02-27,1.5132,1.9923,7.1400,106.3800,1.0637
2008-02-28,1.5172,1.9879,7.1100,105.6400,1.0533
2008-02-29,1.5187,1.9864,7.1115,104.1900,1.0435
2008-03-03,1.5195,1.9850,7.1035,103.5700,1.0431
2008-03-04,1.5210,1.9854,7.1060,102.6700,1.0354
2008-03-05,1.5282,1.9939,7.1075,103.9900,1.0364
2008-03-06,1.5356,2.0073,7.1059,103.1000,1.0291
2008-03-07,1.5333,2.0128,7.1110,102.6900,1.0250
2008-03-10,1.5369,2.0166,7.1060,101.8000,1.0192
2008-03-11,1.5329,2.0041,7.1027,102.8700,1.0292
2008-03-12,1.5495,2.0211,7.1010,102.3800,1.0217
2008-03-13,1.5584,2.0311,7.0900,100.5800,1.0116
2008-03-14,1.5604,2.0294,7.0890,100.2000,1.0072
2008-03-17,1.5765,2.0008,7.0830,96.8800,0.9860
2008-03-18,1.5784,2.0216,7.0795,98.2300,0.9899
2008-03-19,1.5642,1.9858,7.0660,99.3400,1.0006
2008-03-20,1.5417,1.9823,7.0520,98.7900,1.0107
2008-03-21,1.5447,1.9826,7.0515,99.4000,1.0085
2008-03-24,1.5394,1.9852,7.0550,100.7700,1.0230
2008-03-25,1.5595,1.9997,7.0440,100.0700,1.0088
2008-03-26,1.5761,2.0019,7.0290,99.1200,0.9955
2008-03-27,1.5798,2.0097,7.0105,99.8700,0.9932
2008-03-28,1.5759,1.9890,7.0120,99.7100,0.9981
2008-03-31,1.5805,1.9855,7.0120,99.8500,0.9921
2008-04-01,1.5615,1.9774,7.0116,101.7700,1.0108
2008-04-02,1.5618,1.9827,7.0185,102.7700,1.0148
2008-04-03,1.5667,1.9961,7.0150,102.2100,1.0079
2008-04-04,1.5735,1.9947,7.0150,101.7500,1.0052
2008-04-07,1.5713,1.9855,7.0010,102.6200,1.0144
2008-04-08,1.5705,1.9690,7.0008,102.5500,1.0140
2008-04-09,1.5804,1.9726,7.0017,101.8300,1.0019
2008-04-10,1.5744,1.9742,6.9910,101.7100,1.0051
2008-04-11,1.5796,1.9707,7.0060,101.0900,1.0016
2008-04-14,1.5827,1.9816,6.9990,100.8700,0.9975
2008-04-15,1.5801,1.9627,6.9945,101.3300,1.0019
2008-04-16,1.5978,1.9756,6.9920,101.4000,0.9979
2008-04-17,1.5924,1.9908,6.9840,102.2200,1.0025
2008-04-18,1.5742,1.9965,7.0065,104.5600,1.0253
2008-04-21,1.5881,1.9813,6.9996,103.3800,1.0121
2008-04-22,1.6010,1.9994,6.9890,102.7000,1.0004
2008-04-23,1.5898,1.9786,6.9895,103.5500,1.0146
2008-04-24,1.5668,1.9716,6.9955,104.2000,1.0341
2008-04-25,1.5634,1.9833,7.0095,104.1700,1.0335
2008-04-28,1.5648,1.9908,7.0020,104.3000,1.0339
2008-04-29,1.5604,1.9747,6.9845,103.4000,1.0329
2008-04-30,1.5568,1.9847,6.9870,104.5300,1.0422
2008-05-01,1.5458,1.9749,6.9876,104.0400,1.0478
2008-05-02,1.5431,1.9756,6.9870,105.3300,1.0562
2008-05-05,1.5491,1.9679,6.9815,105.1200,1.0539
2008-05-06,1.5548,1.9747,6.9860,104.5400,1.0485
2008-05-07,1.5370,1.9522,6.9860,105.2800,1.0583
2008-05-08,1.5409,1.9543,7.0000,103.8700,1.0510
2008-05-09,1.5447,1.9486,6.9876,103.0100,1.0432
2008-05-12,1.5536,1.9616,6.9881,103.8300,1.0443
2008-05-13,1.5509,1.9470,6.9889,104.4100,1.0490
2008-05-14,1.5467,1.9451,6.9990,105.2000,1.0558
2008-05-15,1.5492,1.9488,6.9943,104.6100,1.0531
2008-05-16,1.5591,1.9580,6.9880,103.8600,1.0448
2008-05-19,1.5516,1.9472,6.9700,104.5500,1.0545
2008-05-20,1.5667,1.9705,6.9725,103.6600,1.0376
2008-05-21,1.5772,1.9669,6.9592,103.3400,1.0297
2008-05-22,1.5703,1.9785,6.9420,104.0300,1.0324
2008-05-23,1.5784,1.9818,6.9412,103.2200,1.0235
2008-05-26,ND,ND,ND,ND,ND
2008-05-27,1.5731,1.9751,6.9450,103.9800,1.0284
2008-05-28,1.5628,1.9806,6.9408,104.6900,1.0382
2008-05-29,1.5527,1.9759,6.9377,105.5200,1.0480
2008-05-30,1.5560,1.9793,6.9400,105.4600,1.0426
2008-06-02,1.5550,1.9666,6.9325,104.4100,1.0379
2008-06-03,1.5454,1.9650,6.9341,105.2900,1.0437
2008-06-04,1.5453,1.9548,6.9633,104.9900,1.0408
2008-06-05,1.5560,1.9563,6.9460,106.0000,1.0398
2008-06-06,1.5731,1.9695,6.9230,105.3300,1.0237
2008-06-09,1.5718,1.9758,6.9230,106.0600,1.0237
2008-06-10,1.5473,1.9543,6.9248,107.1900,1.0404
2008-06-11,1.5562,1.9646,6.9095,106.7700,1.0328
2008-06-12,1.5418,1.9467,6.9070,107.9400,1.0441
2008-06-13,1.5368,1.9496,6.9044,107.9200,1.0485
2008-06-16,1.5472,1.9637,6.8911,108.1900,1.0435
2008-06-17,1.5519,1.9544,6.8954,108.0300,1.0428
2008-06-18,1.5502,1.9570,6.8821,108.0500,1.0413
2008-06-19,1.5502,1.9729,6.8770,107.9500,1.0457
2008-06-20,1.5626,1.9737,6.8796,107.4200,1.0345
2008-06-23,1.5492,1.9609,6.8740,107.8900,1.0474
2008-06-24,1.5591,1.9707,6.8699,107.7600,1.0384
2008-06-25,1.5570,1.9672,6.8653,108.2900,1.0424
2008-06-26,1.5738,1.9873,6.8630,107.2900,1.0274
2008-06-27,1.5749,1.9938,6.8618,106.2800,1.0205
2008-06-30,1.5748,1.9906,6.8591,106.1700,1.0202
2008-07-01,1.5778,1.9930,6.8608,105.7300,1.0183
2008-07-02,1.5869,1.9925,6.8542,105.8700,1.0151
2008-07-03,1.5708,1.9825,6.8529,106.7900,1.0273
2008-07-04,ND,ND,ND,ND,ND
2008-07-07,1.5646,1.9697,6.8567,107.5500,1.0328
2008-07-08,1.5653,1.9685,6.8510,107.3500,1.0324
2008-07-09,1.5744,1.9812,6.8632,107.1200,1.0301
2008-07-10,1.5771,1.9777,6.8430,107.0300,1.0282
2008-07-11,1.5898,1.9895,6.8338,106.1400,1.0179
2008-07-14,1.5914,1.9925,6.8450,106.1800,1.0162
2008-07-15,1.5923,2.0036,6.8211,104.7800,1.0089
2008-07-16,1.5847,1.9995,6.8104,104.6400,1.0148
2008-07-17,1.5861,2.0038,6.8189,105.8200,1.0197
2008-07-18,1.5855,1.9985,6.8168,106.7500,1.0207
2008-07-21,1.5877,1.9979,6.8271,106.7400,1.0207
2008-07-22,1.5811,1.9941,6.8248,107.1100,1.0283
2008-07-23,1.5708,2.0021,6.8279,107.6800,1.0372
2008-07-24,1.5657,1.9832,6.8292,107.6200,1.0390
2008-07-25,1.5687,1.9880,6.8189,107.8900,1.0386
2008-07-28,1.5747,1.9943,6.8332,107.4900,1.0332
2008-07-29,1.5588,1.9805,6.8264,108.1900,1.0454
2008-07-30,1.5559,1.9810,6.8272,108.1700,1.0484
2008-07-31,1.5589,1.9806,6.8388,108.1000,1.0489
2008-08-01,1.5567,1.9743,6.8423,107.5900,1.0480
2008-08-04,1.5569,1.9606,6.8471,108.2300,1.0492
2008-08-05,1.5468,1.9532,6.8501,108.2000,1.0548
2008-08-06,1.5409,1.9479,6.8482,109.3900,1.0602
2008-08-07,1.5341,1.9439,6.8555,109.4400,1.0617
2008-08-08,1.5047,1.9193,6.8604,110.0900,1.0801
2008-08-11,1.4958,1.9144,6.8577,110.0800,1.0828
2008-08-12,1.4905,1.9005,6.8659,109.7800,1.0880
2008-08-13,1.4895,1.8682,6.8601,108.7100,1.0855
2008-08-14,1.4856,1.8715,6.8600,109.7500,1.0911
2008-08-15,1.4695,1.8651,6.8649,110.4800,1.0960
2008-08-18,1.4730,1.8673,6.8705,110.0700,1.0959
2008-08-19,1.4746,1.8655,6.8599,109.6800,1.0927
2008-08-20,1.4701,1.8603,6.8529,109.9800,1.1008
2008-08-21,1.4875,1.8758,6.8405,108.3500,1.0862
2008-08-22,1.4800,1.8544,6.8333,109.8800,1.0970
2008-08-25,1.4803,1.8587,6.8480,109.1100,1.0926
2008-08-26,1.4660,1.8387,6.7800,109.8300,1.1004
2008-08-27,1.4684,1.8318,6.8070,109.7200,1.1009
2008-08-28,1.4685,1.8264,6.8405,109.5600,1.0994
2008-08-29,1.4669,1.8190,6.8252,108.6900,1.1019
2008-09-01,ND,ND,ND,ND,ND
2008-09-02,1.4522,1.7853,6.8215,108.8500,1.1070
2008-09-03,1.4489,1.7795,6.8429,108.1800,1.1055
